,TC Index,TC Variables,TC Value
131,"(1, 2, 4)","('animal2', 'animal3', 'animal5')",9.865077504889186e-11
230,"(4, 4, 5)","('animal5', 'animal5', 'animal6')",9.761693536836091e-11
282,"(8, 8, 9)","('animal9', 'animal9', 'animal10')",9.606872242162723e-11
212,"(3, 4, 8)","('animal4', 'animal5', 'animal9')",9.487474694758191e-11
104,"(0, 4, 9)","('animal1', 'animal5', 'animal10')",8.659645917008518e-11
253,"(5, 5, 8)","('animal6', 'animal6', 'animal9')",8.585933353177921e-11
148,"(1, 4, 8)","('animal2', 'animal5', 'animal9')",8.315200611397344e-11
235,"(4, 5, 5)","('animal5', 'animal6', 'animal6')",8.141663732086357e-11
283,"(8, 9, 9)","('animal9', 'animal10', 'animal10')",8.031072334935274e-11
259,"(5, 7, 7)","('animal6', 'animal8', 'animal8')",8.014072738760092e-11
140,"(1, 3, 6)","('animal2', 'animal4', 'animal7')",8.010916929812595e-11
136,"(1, 2, 9)","('animal2', 'animal3', 'animal10')",7.946783509016342e-11
219,"(3, 6, 6)","('animal4', 'animal7', 'animal7')",7.756991576846062e-11
281,"(8, 8, 8)","('animal9', 'animal9', 'animal9')",7.63732757591562e-11
211,"(3, 4, 7)","('animal4', 'animal5', 'animal8')",7.569045390454221e-11
132,"(1, 2, 5)","('animal2', 'animal3', 'animal6')",7.407299773554143e-11
217,"(3, 5, 8)","('animal4', 'animal6', 'animal9')",7.371425692070943e-11
88,"(0, 2, 6)","('animal1', 'animal3', 'animal7')",7.332724705211291e-11
274,"(6, 9, 9)","('animal7', 'animal10', 'animal10')",7.112806177378417e-11
109,"(0, 5, 9)","('animal1', 'animal6', 'animal10')",7.060500101241374e-11
227,"(3, 8, 9)","('animal4', 'animal9', 'animal10')",6.982632527741117e-11
225,"(3, 7, 9)","('animal4', 'animal8', 'animal10')",6.919241568592582e-11
249,"(4, 9, 9)","('animal5', 'animal10', 'animal10')",6.839103589006967e-11
163,"(1, 8, 9)","('animal2', 'animal9', 'animal10')",6.818717812606678e-11
252,"(5, 5, 7)","('animal6', 'animal6', 'animal8')",6.780034172981786e-11
153,"(1, 5, 8)","('animal2', 'animal6', 'animal9')",6.645353711753899e-11
184,"(2, 4, 8)","('animal3', 'animal5', 'animal9')",6.623045167852837e-11
147,"(1, 4, 7)","('animal2', 'animal5', 'animal8')",6.413480857503373e-11
113,"(0, 6, 9)","('animal1', 'animal7', 'animal10')",6.362411986149397e-11
234,"(4, 4, 9)","('animal5', 'animal5', 'animal10')",6.299245847163348e-11
161,"(1, 7, 9)","('animal2', 'animal8', 'animal10')",6.24847534824724e-11
176,"(2, 3, 6)","('animal3', 'animal4', 'animal7')",6.201052865639767e-11
209,"(3, 4, 5)","('animal4', 'animal5', 'animal6')",6.025142190724253e-11
111,"(0, 6, 7)","('animal1', 'animal7', 'animal8')",6.020824117047852e-11
196,"(2, 7, 8)","('animal3', 'animal8', 'animal9')",5.972920075203447e-11
155,"(1, 6, 6)","('animal2', 'animal7', 'animal7')",5.904758626495976e-11
284,"(9, 9, 9)","('animal10', 'animal10', 'animal10')",5.7828786897973217e-11
112,"(0, 6, 8)","('animal1', 'animal7', 'animal9')",5.7096785632815283e-11
216,"(3, 5, 7)","('animal4', 'animal6', 'animal8')",5.6964606642839755e-11
213,"(3, 4, 9)","('animal4', 'animal5', 'animal10')",5.5200861243109856e-11
275,"(7, 7, 7)","('animal8', 'animal8', 'animal8')",5.4673186117293326e-11
269,"(6, 7, 7)","('animal7', 'animal8', 'animal8')",5.405910441513839e-11
264,"(5, 9, 9)","('animal6', 'animal10', 'animal10')",5.3746833372780856e-11
183,"(2, 4, 7)","('animal3', 'animal5', 'animal8')",5.228068672424868e-11
152,"(1, 5, 7)","('animal2', 'animal6', 'animal8')",5.089618657083683e-11
272,"(6, 8, 8)","('animal7', 'animal9', 'animal9')",4.9122057116379736e-11
189,"(2, 5, 8)","('animal3', 'animal6', 'animal9')",4.835934083735616e-11
229,"(4, 4, 4)","('animal5', 'animal5', 'animal5')",4.811596954201747e-11
145,"(1, 4, 5)","('animal2', 'animal5', 'animal6')",4.7057524543703266e-11
181,"(2, 4, 5)","('animal3', 'animal5', 'animal6')",4.5792682146217345e-11
