,TC Index,TC Variables,TC Value
167,"(2, 2, 4)","('animal3', 'animal3', 'animal5')",6.777692033210769e-05
153,"(1, 5, 8)","('animal2', 'animal6', 'animal9')",6.691585440421477e-05
168,"(2, 2, 5)","('animal3', 'animal3', 'animal6')",6.64604376652278e-05
247,"(4, 8, 8)","('animal5', 'animal9', 'animal9')",6.475226837210357e-05
220,"(3, 6, 7)","('animal4', 'animal7', 'animal8')",6.372082862071693e-05
86,"(0, 2, 4)","('animal1', 'animal3', 'animal5')",6.196145841386169e-05
103,"(0, 4, 8)","('animal1', 'animal5', 'animal9')",6.097078585298732e-05
87,"(0, 2, 5)","('animal1', 'animal3', 'animal6')",6.05847526458092e-05
191,"(2, 6, 6)","('animal3', 'animal7', 'animal7')",5.978288027108647e-05
157,"(1, 6, 8)","('animal2', 'animal7', 'animal9')",5.9741905715782195e-05
156,"(1, 6, 7)","('animal2', 'animal7', 'animal8')",5.69829971936997e-05
152,"(1, 5, 7)","('animal2', 'animal6', 'animal8')",5.404076728154905e-05
148,"(1, 4, 8)","('animal2', 'animal5', 'animal9')",5.2262355893617496e-05
221,"(3, 6, 8)","('animal4', 'animal7', 'animal9')",5.220909952186048e-05
158,"(1, 6, 9)","('animal2', 'animal7', 'animal10')",5.1418712246231735e-05
217,"(3, 5, 8)","('animal4', 'animal6', 'animal9')",5.0432689022272825e-05
176,"(2, 3, 6)","('animal3', 'animal4', 'animal7')",5.019429954700172e-05
267,"(6, 6, 8)","('animal7', 'animal7', 'animal9')",4.7887730033835396e-05
133,"(1, 2, 6)","('animal2', 'animal3', 'animal7')",4.626853478839621e-05
132,"(1, 2, 5)","('animal2', 'animal3', 'animal6')",4.6179164201021194e-05
216,"(3, 5, 7)","('animal4', 'animal6', 'animal8')",4.559385706670582e-05
147,"(1, 4, 7)","('animal2', 'animal5', 'animal8')",4.5293312723515555e-05
101,"(0, 4, 6)","('animal1', 'animal5', 'animal7')",4.490471837925725e-05
106,"(0, 5, 6)","('animal1', 'animal6', 'animal7')",4.412067573866807e-05
211,"(3, 4, 7)","('animal4', 'animal5', 'animal8')",4.369384623714723e-05
212,"(3, 4, 8)","('animal4', 'animal5', 'animal9')",4.34025569120422e-05
213,"(3, 4, 9)","('animal4', 'animal5', 'animal10')",4.3318104872014374e-05
131,"(1, 2, 4)","('animal2', 'animal3', 'animal5')",4.2821910028578714e-05
271,"(6, 7, 9)","('animal7', 'animal8', 'animal10')",4.226919554639608e-05
197,"(2, 7, 9)","('animal3', 'animal8', 'animal10')",4.204157812637277e-05
218,"(3, 5, 9)","('animal4', 'animal6', 'animal10')",4.193960558040999e-05
154,"(1, 5, 9)","('animal2', 'animal6', 'animal10')",4.144178456044756e-05
253,"(5, 5, 8)","('animal6', 'animal6', 'animal9')",4.094541509402916e-05
174,"(2, 3, 4)","('animal3', 'animal4', 'animal5')",4.044642628286965e-05
175,"(2, 3, 5)","('animal3', 'animal4', 'animal6')",4.030821583000943e-05
252,"(5, 5, 7)","('animal6', 'animal6', 'animal8')",3.9979386201594025e-05
234,"(4, 4, 9)","('animal5', 'animal5', 'animal10')",3.8035399484215304e-05
279,"(7, 8, 9)","('animal8', 'animal9', 'animal10')",3.7827638152521104e-05
196,"(2, 7, 8)","('animal3', 'animal8', 'animal9')",3.724841008079238e-05
254,"(5, 5, 9)","('animal6', 'animal6', 'animal10')",3.704156551975757e-05
149,"(1, 4, 9)","('animal2', 'animal5', 'animal10')",3.593927976908162e-05
232,"(4, 4, 7)","('animal5', 'animal5', 'animal8')",3.316878792247735e-05
186,"(2, 5, 5)","('animal3', 'animal6', 'animal6')",3.316213405923918e-05
100,"(0, 4, 5)","('animal1', 'animal5', 'animal6')",3.18171369144693e-05
180,"(2, 4, 4)","('animal3', 'animal5', 'animal5')",3.166490569128655e-05
240,"(4, 6, 6)","('animal5', 'animal7', 'animal7')",3.07746886392124e-05
233,"(4, 4, 8)","('animal5', 'animal5', 'animal9')",3.0535309633705765e-05
199,"(2, 8, 9)","('animal3', 'animal9', 'animal10')",2.965690327982884e-05
265,"(6, 6, 6)","('animal7', 'animal7', 'animal7')",2.9455810363288037e-05
255,"(5, 6, 6)","('animal6', 'animal7', 'animal7')",2.846060124284122e-05
194,"(2, 6, 9)","('animal3', 'animal7', 'animal10')",2.836263411154505e-05
151,"(1, 5, 6)","('animal2', 'animal6', 'animal7')",2.6563766368781216e-05
215,"(3, 5, 6)","('animal4', 'animal6', 'animal7')",2.582141496532131e-05
210,"(3, 4, 6)","('animal4', 'animal5', 'animal7')",2.471221159794368e-05
192,"(2, 6, 7)","('animal3', 'animal7', 'animal8')",2.329638482478913e-05
270,"(6, 7, 8)","('animal7', 'animal8', 'animal9')",2.255604886158835e-05
251,"(5, 5, 6)","('animal6', 'animal6', 'animal7')",2.171814594476018e-05
145,"(1, 4, 5)","('animal2', 'animal5', 'animal6')",2.148655585187953e-05
246,"(4, 7, 9)","('animal5', 'animal8', 'animal10')",2.1462859876919538e-05
261,"(5, 7, 9)","('animal6', 'animal8', 'animal10')",2.1356612705858424e-05
146,"(1, 4, 6)","('animal2', 'animal5', 'animal7')",2.090074667648878e-05
260,"(5, 7, 8)","('animal6', 'animal8', 'animal9')",2.033177406701725e-05
231,"(4, 4, 6)","('animal5', 'animal5', 'animal7')",1.982825415325351e-05
209,"(3, 4, 5)","('animal4', 'animal5', 'animal6')",1.9404678823775612e-05
273,"(6, 8, 9)","('animal7', 'animal9', 'animal10')",1.9236276784795336e-05
245,"(4, 7, 8)","('animal5', 'animal8', 'animal9')",1.7839169231592678e-05
189,"(2, 5, 8)","('animal3', 'animal6', 'animal9')",1.6880620023584925e-05
185,"(2, 4, 9)","('animal3', 'animal5', 'animal10')",1.6751961084082723e-05
193,"(2, 6, 8)","('animal3', 'animal7', 'animal9')",1.6528907508472912e-05
183,"(2, 4, 7)","('animal3', 'animal5', 'animal8')",1.638632602407597e-05
235,"(4, 5, 5)","('animal5', 'animal6', 'animal6')",1.6000520190573297e-05
